25259.1086146444,31273.815648485,210
33048.214335839,7940.30866528023,685
24083.3341904061,19530.5922264196,680
1603.87798553833,49825.450965588,675
31780.401195952,46189.1297073113,430
28036.2634717273,23236.483210939,361
52896.824510558,34404.9120641416,1241
12682.7403627293,21458.663188016,560
25706.2631246364,24255.6299131801,310
26769.146383172,22037.9019423863,470
25386.3451008709,40465.592833464,200
35048.5822807351,13958.2205365915,825
42518.682125372,29852.1989987837,1380
34106.2230469089,11365.7356982762,681
54344.0144225325,55340.8256806349,605
27914.3913676294,23564.4696868118,260
51458.9037574558,9227.52297022287,1280
34929.2059741324,24200.1029824046,704
49468.4721990423,36486.1752885496,1290
34302.8855558913,64821.7647827957,244
